AcePerl,1.92,id/L/LD/LDS/AcePerl-1.92.tar.gz
App-SVN-Bisect,1.1,id/I/IN/INFINOID/App-SVN-Bisect-1.1.tar.gz
Archive-Tar,2.04,id/B/BI/BINGOS/Archive-Tar-2.04.tar.gz
Attribute-Handlers,0.99,id/R/RJ/RJBS/Attribute-Handlers-0.99.tar.gz
AutoLoader,5.74,id/S/SM/SMUELLER/AutoLoader-5.74.tar.gz
Autodia,2.14,id/T/TE/TEEJAY/Autodia-2.14.tar.gz
B-Debug,1.23,id/R/RU/RURBAN/B-Debug-1.23.tar.gz
BioPerl,1.6.924,id/C/CJ/CJFIELDS/BioPerl-1.6.924.tar.gz
BioPerl-DB,1.006900,id/C/CJ/CJFIELDS/BioPerl-DB-1.006900.tar.gz
BioPerl-Network,1.006902,id/C/CJ/CJFIELDS/BioPerl-Network-1.006902.tar.gz
BioPerl-Run,1.006900,id/C/CJ/CJFIELDS/BioPerl-Run-1.006900.tar.gz
CPAN,2.10,id/A/AN/ANDK/CPAN-2.10.tar.gz
CPAN-Meta,2.150005,id/D/DA/DAGOLDEN/CPAN-Meta-2.150005.tar.gz
CPAN-Meta-Requirements,2.140,id/D/DA/DAGOLDEN/CPAN-Meta-Requirements-2.140.tar.gz
CPAN-Meta-YAML,0.018,id/D/DA/DAGOLDEN/CPAN-Meta-YAML-0.018.tar.gz
Cache-Mmap,0.11,id/P/PM/PMH/Cache-Mmap-0.11.tar.gz
Carp,1.38,id/R/RJ/RJBS/Carp-1.38.tar.gz
Class-Loader,2.03,id/V/VI/VIPUL/Class-Loader-2.03.tar.gz
Compress-Raw-Bzip2,2.069,id/P/PM/PMQS/Compress-Raw-Bzip2-2.069.tar.gz
Compress-Raw-Zlib,2.069,id/P/PM/PMQS/Compress-Raw-Zlib-2.069.tar.gz
Convert-ASCII-Armour,1.4,id/V/VI/VIPUL/Convert-ASCII-Armour-1.4.tar.gz
Convert-PEM,0.08,id/B/BT/BTROTT/Convert-PEM-0.08.tar.gz
DBIx-SearchBuilder,1.66,id/A/AL/ALEXMV/DBIx-SearchBuilder-1.66.tar.gz
DB_File,1.835,id/P/PM/PMQS/DB_File-1.835.tar.gz
Data-Buffer,0.04,id/B/BT/BTROTT/Data-Buffer-0.04.tar.gz
Data-Dumper,2.154,id/S/SM/SMUELLER/Data-Dumper-2.154.tar.gz
Date-Manip,6.53,id/S/SB/SBECK/Date-Manip-6.53.tar.gz
Devel-PPPort,3.32,id/W/WO/WOLFSAGE/Devel-PPPort-3.32.tar.gz
Devel-SelfStubber,1.05,id/F/FL/FLORA/Devel-SelfStubber-1.05.tar.gz
Digest,1.17,id/G/GA/GAAS/Digest-1.17.tar.gz
Digest-BubbleBabble,0.02,id/B/BT/BTROTT/Digest-BubbleBabble-0.02.tar.gz
Digest-MD2,2.04,id/G/GA/GAAS/Digest-MD2-2.04.tar.gz
Digest-MD5,2.54,id/G/GA/GAAS/Digest-MD5-2.54.tar.gz
Digest-SHA,5.95,id/M/MS/MSHELOR/Digest-SHA-5.95.tar.gz
Dumpvalue,1.17,id/F/FL/FLORA/Dumpvalue-1.17.tar.gz
Encode,2.82,id/D/DA/DANKOGAI/Encode-2.82.tar.gz
Exporter,5.72,id/T/TO/TODDR/Exporter-5.72.tar.gz
ExtUtils-CBuilder,0.280224,id/A/AM/AMBS/ExtUtils-CBuilder-0.280224.tar.gz
ExtUtils-Constant,0.23,id/N/NW/NWCLARK/ExtUtils-Constant-0.23.tar.gz
ExtUtils-Install,2.04,id/B/BI/BINGOS/ExtUtils-Install-2.04.tar.gz
ExtUtils-MakeMaker,7.10,id/B/BI/BINGOS/ExtUtils-MakeMaker-7.10.tar.gz
ExtUtils-Manifest,1.70,id/E/ET/ETHER/ExtUtils-Manifest-1.70.tar.gz
ExtUtils-ParseXS,3.30,id/S/SM/SMUELLER/ExtUtils-ParseXS-3.30.tar.gz
ExtUtils-PkgConfig,1.15,id/X/XA/XAOC/ExtUtils-PkgConfig-1.15.tar.gz
File-Fetch,0.48,id/B/BI/BINGOS/File-Fetch-0.48.tar.gz
File-Path,2.12,id/R/RI/RICHE/File-Path-2.12.tar.gz
File-Temp,0.2304,id/D/DA/DAGOLDEN/File-Temp-0.2304.tar.gz
Filter-Simple,0.91,id/S/SM/SMUELLER/Filter-Simple-0.91.tar.gz
Frontier-RPC,0.07b4,id/K/KM/KMACLEOD/Frontier-RPC-0.07b4.tar.gz
GBrowse,2.55,id/L/LD/LDS/GBrowse-2.55.tar.gz
Getopt-Long,2.48,id/J/JV/JV/Getopt-Long-2.48.tar.gz
Glib,1.321,id/X/XA/XAOC/Glib-1.321.tar.gz
Gnome2,1.046,id/X/XA/XAOC/Gnome2-1.046.tar.gz
Gnome2-Canvas,1.002,id/T/TS/TSCH/Gnome2-Canvas-1.002.tar.gz
Gnome2-VFS,1.082,id/X/XA/XAOC/Gnome2-VFS-1.082.tar.gz
Gnome2-Wnck,0.16,id/T/TS/TSCH/Gnome2-Wnck-0.16.tar.gz
Gtk2,1.2498,id/X/XA/XAOC/Gtk2-1.2498.tar.gz
Gtk2-Ex-FormFactory,0.67,id/J/JR/JRED/Gtk2-Ex-FormFactory-0.67.tar.gz
Gtk2-GladeXML,1.007,id/T/TS/TSCH/Gtk2-GladeXML-1.007.tar.gz
Gtk2-Spell,1.04,id/T/TS/TSCH/Gtk2-Spell-1.04.tar.gz
Gtk2-TrayIcon,0.06,id/B/BO/BORUP/Gtk2-TrayIcon-0.06.tar.gz
Gtk2-TrayManager,0.05,id/B/BO/BORUP/Gtk2-TrayManager-0.05.tar.gz
HTTP-Tiny,0.056,id/D/DA/DAGOLDEN/HTTP-Tiny-0.056.tar.gz
IO,1.25,id/G/GB/GBARR/IO-1.25.tar.gz
IO-Compress,2.069,id/P/PM/PMQS/IO-Compress-2.069.tar.gz
IO-Socket-IP,0.37,id/P/PE/PEVANS/IO-Socket-IP-0.37.tar.gz
IO-Zlib,1.10,id/T/TO/TOMHUGHES/IO-Zlib-1.10.tar.gz
IPC-Cmd,0.94,id/B/BI/BINGOS/IPC-Cmd-0.94.tar.gz
IPC-SysV,2.06,id/M/MH/MHX/IPC-SysV-2.06.tar.gz
Image-ExifTool,10.10,id/E/EX/EXIFTOOL/Image-ExifTool-10.10.tar.gz
JSON-PP,2.27300,id/M/MA/MAKAMAKA/JSON-PP-2.27300.tar.gz
Locale-Maketext,1.26,id/T/TO/TODDR/Locale-Maketext-1.26.tar.gz
Locale-Maketext-Simple,0.21,id/J/JE/JESSE/Locale-Maketext-Simple-0.21.tar.gz
MIME-Base64,3.15,id/G/GA/GAAS/MIME-Base64-3.15.tar.gz
Math-BigInt,1.999715,id/P/PJ/PJACKLAM/Math-BigInt-1.999715.tar.gz
Math-BigInt-FastCalc,0.40,id/P/PJ/PJACKLAM/Math-BigInt-FastCalc-0.40.tar.gz
Math-BigRat,0.260802,id/P/PJ/PJACKLAM/Math-BigRat-0.260802.tar.gz
Math-Complex,1.59,id/Z/ZE/ZEFRAM/Math-Complex-1.59.tar.gz
Math-Pari,2.010808,id/I/IL/ILYAZ/modules/Math-Pari-2.010808.zip
Memoize,1.03,id/M/MJ/MJD/Memoize-1.03.tgz
Module-CoreList,5.20160121,id/B/BI/BINGOS/Module-CoreList-5.20160121.tar.gz
Module-Load,0.32,id/B/BI/BINGOS/Module-Load-0.32.tar.gz
Module-Load-Conditional,0.64,id/B/BI/BINGOS/Module-Load-Conditional-0.64.tar.gz
Module-Loaded,0.08,id/B/BI/BINGOS/Module-Loaded-0.08.tar.gz
Module-Metadata,1.000027,id/E/ET/ETHER/Module-Metadata-1.000027.tar.gz
MogileFS-Server,2.72,id/D/DO/DORMANDO/MogileFS-Server-2.72.tar.gz
NEXT,0.65,id/F/FL/FLORA/NEXT-0.65.tar.gz
NTLM,1.09,id/N/NB/NBEBOUT/NTLM-1.09.tar.gz
Net-Ping,2.41,id/S/SM/SMPETERS/Net-Ping-2.41.tar.gz
Net-SFTP,0.10,id/D/DB/DBROBINS/Net-SFTP-0.10.tar.gz
Net-SSH-Perl,1.42,id/S/SC/SCHWIGON/Net-SSH-Perl-1.42.tar.gz
Net-Server,2.008,id/R/RH/RHANDOM/Net-Server-2.008.tar.gz
OLE-Storage_Lite,0.19,id/J/JM/JMCNAMARA/OLE-Storage_Lite-0.19.tar.gz
Ogg-Vorbis-Header,0.03,id/D/DB/DBP/Ogg-Vorbis-Header-0.03.tar.gz
Package-Constants,0.06,id/B/BI/BINGOS/Package-Constants-0.06.tar.gz
Padre,1.00,id/P/PL/PLAVEN/Padre-1.00.tar.gz
Params-Check,0.38,id/B/BI/BINGOS/Params-Check-0.38.tar.gz
Parse-CPAN-Meta,1.4417,id/D/DA/DAGOLDEN/Parse-CPAN-Meta-1.4417.tar.gz
PathTools,3.62,id/R/RJ/RJBS/PathTools-3.62.tar.gz
