AcePerl,dev-perl/Ace
String-CRC32,dev-perl/string-crc32
Sys-Syslog,virtual/perl-Sys-Syslog
Template-Plugin-Latex,dev-perl/Template-Latex
Term-ANSIColor,virtual/perl-Term-ANSIColor
Test,virtual/perl-Test
Test-Harness,virtual/perl-Test-Harness
Test-Simple,virtual/perl-Test-Simple
Text-Autoformat,dev-perl/text-autoformat
Text-Balanced,virtual/perl-Text-Balanced
Text-ParseWords,virtual/perl-Text-ParseWords
Text-Reform,dev-perl/text-reform
Text-Tabs+Wrap,virtual/perl-Text-Tabs+Wrap
Text-Template,dev-perl/text-template
Text-Wrapper,dev-perl/text-wrapper
Thread-Queue,virtual/perl-Thread-Queue
Thread-Semaphore,virtual/perl-Thread-Semaphore
Tie-EncryptedHash,dev-perl/tie-encryptedhash
Tie-RefHash,virtual/perl-Tie-RefHash
Time-HiRes,virtual/perl-Time-HiRes
Time-Local,virtual/perl-Time-Local
Time-Period,dev-perl/Period
Time-Piece,virtual/perl-Time-Piece
Tk,dev-perl/perl-tk
Unicode-Collate,virtual/perl-Unicode-Collate
Unicode-Normalize,virtual/perl-Unicode-Normalize
Version-Requirements,virtual/perl-Version-Requirements
Wx,dev-perl/wxperl
XML-XSH2,app-editors/XML-XSH2
XSLoader,virtual/perl-XSLoader
YAML,dev-perl/yaml
ack,sys-apps/ack
autodie,virtual/perl-autodie
bignum,virtual/perl-bignum
constant,virtual/perl-constant
gettext,dev-perl/Locale-gettext
if,virtual/perl-if
libnet,virtual/perl-libnet
parent,virtual/perl-parent
podlators,virtual/perl-podlators
threads,virtual/perl-threads
threads-shared,virtual/perl-threads-shared
txt2html,dev-perl/TextToHTML
version,virtual/perl-version
